COND;GAME-TIMESTAMP;PICTURE-TIMESTAMP;IADS-ID;IAPS-ID;ANGER;CONTEMPT;DISGUST;FEAR;HAPPINESS;NEUTRAL;SADNESS;SURPRISE
freud;1555653772.3429856;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.947;0.052;0.0
freud;1555653773.3730445;nan;nan;nan;0.0;0.0;0.0;0.0;0.002;0.951;0.047;0.0
freud;1555653774.4001033;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.936;0.063;0.0
freud;1555653775.4271622;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.889;0.111;0.0
freud;1555653776.4562209;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.936;0.064;0.0
freud;1555653777.4832797;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.955;0.045;0.0
freud;1555653778.5113385;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.869;0.131;0.0
freud;1555653779.5403974;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.868;0.131;0.0
freud;1555653780.5694563;nan;nan;nan;0.0;0.001;0.0;0.0;0.0;0.893;0.106;0.0
freud;1555653781.5965152;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.928;0.072;0.0
freud;1555653782.6235738;nan;nan;nan;0.0;0.0;0.0;0.0;0.003;0.951;0.046;0.0
freud;1555653783.6526325;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.858;0.142;0.0
freud;1555653784.6796916;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.933;0.067;0.0
freud;1555653785.70775;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.884;0.115;0.0
freud;1555653786.734809;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.74;0.26;0.0
freud;1555653787.7638679;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.889;0.111;0.0
freud;1555653788.7929268;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.929;0.071;0.0
freud;1555653789.8199854;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.798;0.2;0.0
freud;1555653790.8490443;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.952;0.047;0.0
freud;1555653791.877103;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.959;0.04;0.0
freud;1555653792.906162;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.963;0.037;0.0
freud;1555653793.9342208;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.976;0.024;0.0
freud;1555653794.9642797;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.99;0.01;0.0
freud;1555653795.9933386;nan;nan;nan;0.0;0.0;0.0;0.0;0.003;0.987;0.01;0.0
freud;1555653797.0203974;nan;nan;nan;0.0;0.0;0.0;0.0;0.002;0.98;0.018;0.0
freud;1555653798.048456;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.988;0.011;0.0
freud;1555653799.0765147;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.975;0.025;0.0
freud;1555653800.1025736;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.938;0.061;0.0
freud;1555653801.1296322;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.961;0.038;0.0
freud;1555653802.1576908;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.966;0.033;0.0
freud;1555653803.1847498;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.941;0.058;0.0
freud;1555653804.2118084;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.978;0.022;0.0
freud;1555653805.2398674;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.978;0.022;0.0
freud;1555653806.266926;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.974;0.026;0.0
freud;1555653807.2939847;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.973;0.027;0.0
freud;1555653808.3210437;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.959;0.04;0.0
freud;1555653809.3481023;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.941;0.059;0.0
freud;1555653810.3751612;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.904;0.096;0.0
freud;1555653811.4022198;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.812;0.188;0.0
freud;1555653812.4302785;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.926;0.074;0.0
freud;1555653813.4603374;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.926;0.074;0.0
freud;1555653814.4873962;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.947;0.053;0.0
freud;1555653815.514455;nan;nan;nan;0.0;0.0;0.0;0.0;0.004;0.957;0.039;0.0
freud;1555653816.5425138;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.709;0.291;0.0
freud;1555653817.5705726;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.97;0.029;0.0
freud;1555653818.5976312;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.983;0.016;0.0
freud;1555653819.62369;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.964;0.036;0.0
freud;1555653820.651749;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.955;0.045;0.0
freud;1555653821.6798074;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.875;0.125;0.0
freud;1555653822.7078664;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.75;0.25;0.0
freud;1555653823.7369251;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.966;0.034;0.0
freud;1555653824.7649841;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.702;0.297;0.0
freud;1555653825.7920427;nan;nan;nan;0.0;0.0;0.0;0.0;0.003;0.895;0.102;0.0
freud;1555653826.821102;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.816;0.183;0.0
freud;1555653827.8511605;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.782;0.217;0.0
freud;1555653828.8792195;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.76;0.24;0.0
freud;1555653829.907278;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.94;0.059;0.0
freud;1555653830.935337;nan;nan;nan;0.0;0.0;0.0;0.0;0.002;0.897;0.1;0.0
freud;1555653831.9633958;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.769;0.231;0.0
freud;1555653832.9904544;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.81;0.189;0.0
freud;1555653834.0185134;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.811;0.189;0.0
freud;1555653835.0485723;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.836;0.163;0.0
freud;1555653836.0756311;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.949;0.051;0.0
freud;1555653837.1026897;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.901;0.099;0.0
freud;1555653838.1317487;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.88;0.119;0.0
freud;1555653839.1578074;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.874;0.125;0.0
freud;1555653840.184866;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.856;0.144;0.0
freud;1555653841.2119248;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.954;0.045;0.0
freud;1555653842.2399836;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.985;0.014;0.0
freud;1555653843.2660425;nan;nan;nan;0.0;0.0;0.0;0.0;0.718;0.281;0.0;0.0
freud;1555653844.2921011;nan;nan;nan;0.0;0.001;0.0;0.0;0.307;0.692;0.0;0.0
freud;1555653845.3191597;nan;nan;nan;0.0;0.001;0.0;0.0;0.177;0.821;0.001;0.0
freud;1555653846.3452184;nan;nan;nan;0.0;0.0;0.0;0.0;0.008;0.986;0.005;0.0
freud;1555653847.3722773;nan;nan;nan;0.0;0.0;0.0;0.0;0.002;0.986;0.012;0.0
freud;1555653848.3993359;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.99;0.01;0.0
freud;1555653849.4273949;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.974;0.024;0.0
freud;1555653850.4544535;nan;nan;nan;0.0;0.0;0.0;0.0;0.006;0.983;0.011;0.0
freud;1555653851.4815123;nan;nan;nan;0.0;0.0;0.0;0.0;0.007;0.985;0.008;0.0
freud;1555653852.508571;nan;nan;nan;0.0;0.001;0.0;0.0;0.025;0.971;0.004;0.0
freud;1555653853.5366297;nan;nan;nan;0.0;0.0;0.0;0.0;0.032;0.963;0.005;0.0
freud;1555653854.5636885;nan;nan;nan;0.0;0.001;0.0;0.0;0.035;0.962;0.002;0.0
freud;1555653855.590747;nan;nan;nan;0.0;0.001;0.0;0.0;0.486;0.514;0.0;0.0
freud;1555653856.6178062;nan;nan;nan;0.0;0.001;0.0;0.0;0.257;0.741;0.001;0.0
freud;1555653857.6438646;nan;nan;nan;0.0;0.0;0.0;0.0;0.828;0.172;0.0;0.0
freud;1555653858.6709235;nan;nan;nan;0.0;0.0;0.0;0.0;0.384;0.615;0.0;0.0
freud;1555653859.6979823;nan;nan;nan;0.0;0.001;0.0;0.0;0.044;0.954;0.001;0.0
freud;1555653860.726041;nan;nan;nan;0.0;0.0;0.0;0.0;0.012;0.986;0.002;0.0
freud;1555653861.7530997;nan;nan;nan;0.0;0.0;0.0;0.0;0.003;0.989;0.007;0.0
freud;1555653862.7801585;nan;nan;nan;0.0;0.0;0.0;0.0;0.003;0.991;0.006;0.0
freud;1555653863.8072171;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.993;0.005;0.0
freud;1555653864.8352761;nan;nan;nan;0.0;0.0;0.0;0.0;0.016;0.972;0.011;0.0
freud;1555653865.8623347;nan;nan;nan;0.0;0.0;0.0;0.0;0.553;0.446;0.0;0.0
freud;1555653866.8893933;nan;nan;nan;0.0;0.0;0.0;0.0;0.011;0.988;0.001;0.0
freud;1555653867.9184523;nan;nan;nan;0.0;0.0;0.0;0.0;0.013;0.987;0.0;0.0
freud;1555653868.9475112;nan;nan;nan;0.0;0.0;0.0;0.0;0.008;0.991;0.001;0.0
freud;1555653869.97457;nan;nan;nan;0.0;0.0;0.0;0.0;0.14;0.859;0.0;0.0
freud;1555653871.0026286;nan;nan;nan;0.0;0.0;0.0;0.0;0.437;0.563;0.0;0.0
freud;1555653872.0316877;nan;nan;nan;0.0;0.0;0.0;0.0;0.159;0.839;0.001;0.0
freud;1555653873.0587463;nan;nan;nan;0.0;0.0;0.0;0.0;0.007;0.986;0.006;0.0
freud;1555653874.085805;nan;nan;nan;0.0;0.0;0.0;0.0;0.005;0.988;0.006;0.0
freud;1555653875.1118639;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.993;0.006;0.0
freud;1555653876.1379225;nan;nan;nan;0.0;0.0;0.0;0.0;0.002;0.991;0.007;0.0
freud;1555653877.1639812;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.994;0.004;0.0
freud;1555653878.1900399;nan;nan;nan;0.0;0.0;0.0;0.0;0.653;0.346;0.0;0.0
freud;1555653879.2170985;nan;nan;nan;0.0;0.001;0.0;0.0;0.404;0.595;0.0;0.0
freud;1555653880.244157;nan;nan;nan;0.0;0.0;0.0;0.0;0.548;0.452;0.0;0.0
freud;1555653881.269216;nan;nan;nan;0.0;0.0;0.0;0.0;0.26;0.738;0.0;0.0
freud;1555653882.2962747;nan;nan;nan;0.0;0.001;0.0;0.0;0.176;0.823;0.001;0.0
freud;1555653883.3233333;nan;nan;nan;0.0;0.001;0.0;0.0;0.052;0.946;0.001;0.0
freud;1555653884.3493922;nan;nan;nan;0.0;0.001;0.0;0.0;0.038;0.959;0.001;0.0
freud;1555653885.3764508;nan;nan;nan;0.0;0.0;0.0;0.0;0.019;0.977;0.004;0.0
freud;1555653886.4035096;nan;nan;nan;0.0;0.0;0.0;0.0;0.007;0.985;0.008;0.0
freud;1555653887.4315684;nan;nan;nan;0.0;0.0;0.0;0.0;0.004;0.992;0.004;0.0
freud;1555653888.458627;nan;nan;nan;0.0;0.0;0.0;0.0;0.001;0.991;0.008;0.0
freud;1555653889.485686;nan;nan;nan;0.0;0.0;0.0;0.0;0.003;0.989;0.008;0.0
freud;1555653890.5127447;nan;nan;nan;0.0;0.0;0.0;0.0;0.002;0.99;0.008;0.0
freud;1555653891.538803;nan;nan;nan;0.0;0.001;0.0;0.0;0.246;0.753;0.0;0.0
freud;1555653892.564862;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.976;0.024;0.0
freud;1555653893.5909207;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.97;0.03;0.0
freud;1555653894.6179793;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.981;0.019;0.0
freud;1555653895.6450381;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.982;0.017;0.0
freud;1555653896.6710968;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.967;0.033;0.0
freud;1555653897.6981554;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.971;0.028;0.0
freud;1555653898.7242143;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.976;0.024;0.0
freud;1555653899.750273;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.974;0.025;0.0
freud;1555653900.7763317;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.967;0.033;0.0
freud;1555653901.8033905;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.986;0.013;0.0
freud;1555653902.8294492;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.987;0.013;0.0
freud;1555653903.8555076;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.985;0.014;0.001
freud;1555653904.889567;nan;nan;nan;0.0;0.003;0.0;0.0;0.407;0.588;0.0;0.001
freud;1555653905.9156258;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.994;0.006;0.0
freud;1555653906.9416842;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.985;0.014;0.0
freud;1555653907.967743;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.976;0.024;0.0
freud;1555653908.994802;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.97;0.03;0.0
freud;1555653910.0228605;nan;nan;nan;0.0;0.0;0.0;0.0;0.003;0.976;0.021;0.0
freud;1555653911.0489192;nan;nan;nan;0.0;0.0;0.0;0.0;0.031;0.965;0.004;0.0
freud;1555653912.075978;nan;nan;nan;0.0;0.0;0.0;0.0;0.014;0.977;0.008;0.0
freud;1555653913.1030366;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.974;0.026;0.0
freud;1555653914.1290953;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.938;0.061;0.0
freud;1555653915.1561542;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.945;0.055;0.0
freud;1555653916.1832128;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.944;0.055;0.0
freud;1555653917.2112718;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.95;0.05;0.0
freud;1555653918.2373304;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.945;0.055;0.0
freud;1555653919.263389;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.972;0.028;0.0
freud;1555653920.2914479;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.963;0.037;0.0
freud;1555653921.3195066;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.952;0.047;0.0
freud;1555653922.3465655;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.962;0.038;0.0
freud;1555653923.3746243;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.972;0.028;0.0
freud;1555653924.4026828;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.959;0.041;0.0
freud;1555653925.4297419;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.943;0.057;0.0
freud;1555653926.4568005;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.94;0.059;0.0
freud;1555653927.4838593;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.938;0.062;0.0
freud;1555653928.511918;nan;nan;nan;0.0;0.0;0.0;0.0;0.0;0.972;0.027;0.0
freud;1555653929.5389767;nan;nan;nan;0.0;0.001;0.0;0.0;0.004;0.858;0.136;0.0
freud;1555653930.5660357;nan;nan;nan;0.0;0.001;0.0;0.0;0.011;0.939;0.048;0.0
freud;1555653931.5940943;nan;nan;nan;0.0;0.001;0.0;0.0;0.0;0.861;0.137;0.0
